Producto,Kcal,Grasa,Carbohidratos,Proteina,Sal,Supermercado,Saturada%,Azucares%
Cocktail Natural Frutos Secos ,651.0,58.8,5.6,20.4,0.0,mercadona,8.503401360544217,64.2857142857143
Arroz Basmati Microondas,148.0,2.72,27.200000000000003,3.2,1.6,mercadona,14.705882352941178,4.117647058823529
Filete de Pechuga de Pollo,108.0,1.8000000000000005,0.5,22.0,0.19,mercadona,33.33333333333332,0.0
Grana Padano,398.0,29.0,0.0,33.0,0.0,mercadona,62.06896551724138,
+Proteínas ,51.66666666666667,0.4166666666666667,3.083333333333333,10.0,0.1,mercadona,19.99999999999999,100.0
Cereales 0% Azúcares Añadidos,373.0,1.6,75.0,10.3,1.0,mercadona,18.75,1.3333333333333337
Crema de Calabacín ,36.0,1.0,5.5,0.3,0.59,mercadona,80.0,45.45454545454545
Galletas María ,446.4285714285714,14.285714285714288,71.42857142857143,7.142857142857144,0.0,mercadona,12.5,0.0
Solomillo de Pechuga de Pollo,108.0,1.8000000000000005,0.0,22.0,0.28,mercadona,33.33333333333332,
Crema de Calabaza,36.0,1.3,4.9,0.7,0.7,mercadona,61.53846153846154,55.10204081632652
Brócoli,29.0,0.4,1.8000000000000005,3.0,0.03,mercadona,25.0,83.33333333333331
Fresas Enteras Congeladas,30.0,0.0,5.2,0.7,0.0,mercadona,,90.3846153846154
Queso Havarti en Lonchas,396.0,35.0,1.3,19.0,1.3,mercadona,71.42857142857143,38.46153846153846
Gambas Peladas ,72.0,1.0,1.0,14.7,2.5,mercadona,20.0,100.0
Tomate Frito sin Sal Ni Azúcares Añadidos,65.0,3.5000000000000004,6.5,1.5,1.25,mercadona,8.57142857142857,72.3076923076923
Tortillas de Trigo ,302.77777777777777,6.388888888888888,50.0,8.055555555555555,1.6666666666666667,mercadona,26.086956521739136,3.888888888888889
Hamburguesa Vacuno Cerdo,221.0,16.0,1.5,17.7,2.0,mercadona,44.375,53.333333333333336
Pan de Hamburguesa Brioche,327.2727272727273,10.545454545454543,47.27272727272727,10.18181818181818,0.7454545454545454,mercadona,41.3793103448276,23.46153846153846
Mejillones en Escabeche,149.0,6.6000000000000005,5.3,17.0,1.4,mercadona,10.606060606060606,0.0
Tiras de Pechuga de Pollo Asada al Horno ,107.0,1.2,0.6,23.4,1.8000000000000005,mercadona,33.333333333333336,100.0
Ensalada 4 Estaciones,17.0,0.5,2.0,0.9000000000000001,0.06,mercadona,0.0,75.0
Nuez Mondada,716.0,69.6,2.2,17.0,0.0,mercadona,8.620689655172415,77.27272727272727
Queso Untar Light,130.0,8.3,4.8,9.0,0.76,mercadona,72.28915662650601,100.0
Atún al Natural,98.0,1.2,0.9000000000000001,21.0,1.1,mercadona,25.0,0.0
Zumo de Naranja,44.0,0.1,10.0,0.6,0.0,mercadona,0.0,100.0
Mozzarella Fresca Light,153.0,9.0,1.0,17.0,1.5,mercadona,66.66666666666666,80.0
Espinacas Congeladas en Porciones,27.0,0.4,1.6,2.9,0.16,mercadona,25.0,93.75
Judía Verde Redonda,39.0,0.1,6.1,1.9,0.01,mercadona,0.0,19.672131147540984
Lomo de Pavo,215.0,5.8,0.7,40.0,4.3,mercadona,48.27586206896552,100.0
Ensaladilla Rusa,211.0,17.0,8.3,5.5,0.03,mercadona,15.294117647058824,13.253012048192772
Cookies con Pepitas de Chocolate,482.35294117647055,22.058823529411764,64.70588235294117,5.294117647058823,2.7058823529411766,mercadona,61.33333333333333,59.09090909090909
