Producto,Kcal,Grasa,Grasas saturadas,Carbohidratos,Azucares,Proteina,Sal,Supermercado
Pan Cortado Redondo ,250.0,2.783333333333333,0.5,43.6,3.0000000000000004,10.200000000000001,0.8666666666666666,mercadona
Mini Saladas,310.0,18.9,6.3,26.1,3.8,8.7,1.2,mercadona
Pechuga Entera Certificada,110.00000000000001,2.1,0.7,0.0,0.0,22.0,0.14,mercadona
Helado de Vainilla y Nueces Macadamia,268.0,16.0,8.4,27.0,25.0,3.8,0.14,mercadona
Mini Bombón Negro,338.6363636363636,22.727272727272727,15.454545454545453,25.0,21.818181818181817,4.545454545454546,0.045454545454545456,mercadona
Mermelada Ciruela,194.0,0.0,0.0,48.0,48.0,0.4,0.0,mercadona
Cacahuete Garrapiñado,509.99999999999994,26.0,3.3000000000000003,52.0,51.0,14.000000000000002,0.0,mercadona
Yogur con Frutas,77.60000000000001,2.08,1.3599999999999999,12.0,12.0,2.7199999999999998,0.0,mercadona
Bebida de Arándanos y Frutas Rojas,19.0,0.0,0.0,3.5000000000000004,3.4000000000000004,0.2,0.0,mercadona
Mousse de Chocolate Negro,551.0,35.0,16.0,49.5,47.0,6.5,0.1,mercadona
Bebida de Arroz y Coco 100% Vegetal,50.0,1.6,1.3,9.0,6.3,0.1,0.0,mercadona
Mini Nocciola,404.0,27.0,13.600000000000001,35.4,34.4,4.0,0.0,mercadona
Mini Croquetas de Jamón,192.0,8.0,1.4,23.2,5.2,6.4,1.17,mercadona
Alubias Rojas,292.0,1.0,0.3,40.0,2.1,21.4,0.03,mercadona
Tiras de Potón del Pacífico,57.99999999999999,0.5,0.2,1.3,0.0,12.0,1.0,mercadona
Turrón de Chocolate con Almendras,569.0,40.0,11.0,40.0,37.0,12.0,1.0,mercadona
Pan 30% Avena,261.0,6.800000000000001,1.0,34.0,1.9,13.0,0.0,mercadona
Pica Mix,355.0,0.9000000000000001,0.5,86.0,69.0,0.6,0.0,mercadona
Atún Claro en Aceite de Oliva Bajo en Sal,448.75,38.75,5.75,1.125,0.5,23.75,0.3625,mercadona
Gusanitos Cuquis,473.00000000000006,17.0,0.0,72.0,0.7,6.5,1.5,mercadona
Rosco de Vino y Almendra,505.0,25.0,9.0,63.0,17.0,6.5,0.02,mercadona
Zumo 5 Frutas sin Azúcares Añadidos,32.0,0.2,0.0,7.000000000000001,6.4,0.4,0.0,mercadona
Fideos de Chocolate,495.0,24.0,0.0,61.0,0.0,6.0,0.0,mercadona
Yogur Cremoso con Frutas del Bosque,96.0,3.0,1.9,13.8,13.600000000000001,3.7000000000000006,0.0,mercadona
